id,desc,createTime,video.duration,author.verified,music.title,stats.playCount,stats.diggCount,stats.commentCount,stats.shareCount
6823915223615835398,#boredinthehouse #boredathome #funwithfriends @_ohmiles,2020-05-07 01:56:15,50,False,original sound,28,2,0,0
6814576041168735494,#Spammusubi kind of day #food #cookingvideo #spam,2020-04-11 21:55:27,15,False,Moana Marie,1250,36,1,1
6807915550593846534,Can’t stop won’t stop. #cat #cats #catlover #catsofday #catsoftiktok,2020-03-24 23:09:23,9,False,ICY GRL,78,23,0,0
6806227397118119173,#happyathome,2020-03-20 09:58:27,5,False,Who R U,446,22,0,0
6806214369471515909,Coming out of this pandemic like...,2020-03-20 09:07:54,2,False,Good Morning,71,40,1,0
6828417893441719558,First tiktok,2020-05-19 05:08:58,5,False,original sound,2068,25,0,0
6702103133679521030,,2019-06-13 19:43:07,14,False,Y.M.C.A.,101,8,1,0
6702102944151506181,,2019-06-13 19:42:22,15,False,Y.M.C.A.,187,11,2,0
6701352677781032198,,2019-06-11 19:10:57,8,False,original sound,125,13,2,0
6699596396653186309,,2019-06-07 01:35:41,6,False,original sound,231,7,1,0
6692470394416270598,#makemefamous #fyp #foryoupage  #foryou #justforfun,2019-05-18 20:43:10,14,False,Ponyo On the Cliff By the Sea,44,5,1,0
6691704063144234246,I promise we treat her like a princess #foryoupage #foryou #babygirl #baby #scared #pleaselikethis,2019-05-16 19:09:24,6,False,original sound,28,3,0,0
6690261815521185030,,2019-05-12 21:52:45,6,False,original sound,165,9,3,3
6687560791308111109,,2019-05-05 15:11:24,14,False,Let's go！,161,3,1,2
6820255490023460102,"My babies 🥺❤️ sorry i haven’t been active, there has been a family tragedy.. 🤍🕊 but enjoy this video! #foryou #fyp #mickeymouseclubhouse",2020-04-27 05:14:37,16,False,original sound,437,58,3,3
6809792492775460102,only if i can change the picture in my yearbook 😭 #foryou #foryoupage #fyp #quarantine #makeup,2020-03-30 00:32:50,17,False,kid fran moon,5445,521,11,3
6809407184120597765,"lolpeep the shirt i made “when i lose these lonjas, it’s over for you pendejas”#quarantine #beinginquarantinebelike #fyp #foryoupage #foryou",2020-03-28 23:37:38,15,False,Roses - Imanbek Remix,105900,22600,203,182
6808417710410616069,am i too late for the trend?? #repost #foryoupage #foryou #foryourpage #catfish #oops,2020-03-26 07:38:00,12,False,My Heart Went Oops,3988,182,10,6
6859473890842840326,I got so carried away.  #fyp #Alphets #foryou,2020-08-10 21:42:06,40,False,original sound,1277,53,11,8
6858837086619880709,,2020-08-09 04:31:03,8,False,original sound,164,7,0,0
6858802625387793669,don’t hate. Appreciate #fyp #trump2020 #biden2020,2020-08-09 02:17:18,18,False,Mood Swings,309,11,0,4
6858499212544314630,#fyp,2020-08-08 06:39:57,34,False,original sound,257,16,4,2
6857963345262169349,#greenscreenvideo no words,2020-08-06 20:00:25,9,False,original sound,203,9,2,0
6857051584875072774,Seriously that would look so cool. Cause usually big beards are frizzy and uglay,2020-08-04 09:02:25,34,False,original sound,171,8,0,0
6857050596550249734,Prove me wrong,2020-08-04 08:58:54,15,False,original sound,158,6,0,0
6856877240869833990,You may call me mini girl,2020-08-03 21:45:48,14,False,original sound,218,19,1,0
6854427303347260678,Yeah...idk either,2020-07-28 07:18:46,11,False,paradises room,1245,84,11,11
6853656122742689030,Do our dance,2020-07-26 05:26:12,15,False,RICKY DESKTOP THE DICE BEAT,183,5,0,1
6853654625669696773,,2020-07-26 05:20:23,15,False,RICKY DESKTOP THE DICE BEAT,203,7,2,0
6853653584698002693,,2020-07-26 05:16:21,15,False,RICKY DESKTOP THE DICE BEAT,176,5,0,0
6852387186646551814,I couldn’t sleep with my ears exposed for like 2 years,2020-07-22 19:22:01,56,False,I am at ur moms house,3617,71,8,3
6851834930842864902,#duet with @angelicnecrosis  SUSSSSSS,2020-07-21 07:39:03,11,False,happiest year of my life,799,9,0,0
6851451112487374086,I’m sorry,2020-07-20 06:49:38,20,False,original sound,458,26,2,0
6850969327466712325,#fyp,2020-07-18 23:40:01,13,False,original sound,272,23,1,0
6850266365316648197,This was funnier in our heads #fyp,2020-07-17 02:12:10,15,False,EGO,1768,19,1,0
6850261672070794502,We had to convince them for soooo long❤️ they always cave😇 #fyp #HiddenGems #foryou,2020-07-17 01:53:58,9,False,Famous (I'm the One),660,13,1,0
6850140403652414726,#fyp #foryou #UnitedWeDance,2020-07-16 18:03:21,21,False,оригинальный звук,152,5,1,0
6849177004122574085,THEEEESSSE #fyp,2020-07-14 03:44:54,34,False,ICY GRL,170,11,0,0
6849162582184529157,#duet with @yolozski flexin on em #fyp #foryou #BeatsDaisyChallenge #xyzbca,2020-07-14 02:48:56,8,False,original sound,248,27,2,0
6848337682859445510,Her feet are stinky #fyp,2020-07-11 21:27:52,7,False,If That's Not Love - Album Version,232,8,0,0
6847609394029464837,@ansonseabra just commented on @sarahsnyyyder video. This is my last tik tok ever. Blowww me up you will never seen me again #fyp,2020-07-09 22:21:44,14,False,original sound,247,17,1,0
6846591243338697989,🧚🏽‍♂️ #fyp,2020-07-07 04:31:01,14,False,The One That Got Away by Katy Perry,1172,49,5,0
6846273143745662213,Fight me on this #fyp,2020-07-06 07:56:27,5,False,Obsessed,4018,55,6,13
6846259446314831110,I’m genuinely curious. Like is this possible. Would love to hear some thoughts.,2020-07-06 07:03:19,28,False,original sound,1428,86,6,1
6846256563364138246,,2020-07-06 06:52:08,6,False,Don't Stop..Planet Rock,217,4,0,0
6844949075138202886,#fyp !!,2020-07-02 18:18:21,9,False,original sound,1942,33,5,0
6844947835184499973,,2020-07-02 18:13:32,15,False,original sound,205,7,0,0
6844327610294570245,Sassy moody mermaid. All credit given to my patient friend @tiktokroyalty01  #fyp #foryou #foryoupage,2020-07-01 02:06:46,15,False,Savage,273,18,1,1
6843980987479624966,im in shockkkkkk#LittleBitFancy #FavoriteRecipe #CheckMeOutChallenge #tpain #foryou,2020-06-30 03:41:42,13,False,T-Pain Mashup,225,13,3,0
6843265321881701638,,2020-06-28 05:24:35,9,False,Could Nevva,191,5,0,0
6842916872975895813,This is so dumb gn,2020-06-27 06:52:25,17,False,original sound,592,27,2,0
6842495711242685701,#DogsOfTikTok #fyp #foryou  using bo ridge for clout,2020-06-26 03:38:05,11,False,Alice in Wonderland,219,11,0,0
6842083155202051334,Pick me @mrbeast,2020-06-25 00:57:08,14,False,original sound,260,19,3,0
6841730975278451973,#fyp #omg #365days,2020-06-24 02:10:30,3,False,original sound,261,9,0,0
6838437948149583109,Idek the words. Use my sound! #fyp,2020-06-15 05:11:54,7,False,original sound,288,8,0,0
6837641329317629189,iykyk #fyp #foryoupage #foryou,2020-06-13 01:40:35,7,False,original sound,429,18,2,0
6837339400968342789,#TikTokBrushes #fyp #WorkoutPlan,2020-06-12 06:09:10,13,False,original sound,214,11,0,0
6837258770595302661,😭😭😭 #fyp,2020-06-12 00:56:03,24,False,Chicago Freestyle - Remix,287,24,1,0
6835839281303489797,#fyp #elitesideoftiktok,2020-06-08 05:07:45,13,False,original sound,223,9,0,0
6835832723647499526,#duet with @roberttolppi #NotOneThing #fyp,2020-06-08 04:42:17,10,False,Ameno hatsune miku,1937,90,5,1
